komentar,timestamp,platform,sentimen,clean
Komentar anda sangat mewakili yang lainnya,4 bulan yang lalu,youtube,netral,komentar anda sangat mewakili lainnya
Kalau menurut saya LinkAja paling The Best 👍,1 tahun yang lalu,youtube,netral,kalau menurut linkaja paling the best 👍
Pada akhirnya 2025 tinggal Gopay & DANA aja yg bisa diandalkan. 😂,1 tahun yang lalu,youtube,netral,pada akhirnya tinggal gopay dana aja yg bisa diandalkan 😂
"Sampai sekarang duitku nyangkut di ovo,di persulit syarat upgrade nya",1 tahun yang lalu,youtube,netral,sampai sekarang duitku nyangkut ovodi persulit syarat upgrade nya
Kalo pake flip aman g,1 tahun yang lalu,youtube,positif,kalo pake flip aman g
gopay sda kabur....hati hati dompet digital...sya sda alami....reel...gopay sda kabur....jngan ada korban lagi,1 tahun yang lalu,youtube,netral,gopay sda kaburhati hati dompet digitalsya sda alamireelgopay sda kaburjngan ada korban lagi
Keren kereta lokal nya bisa dibeli pake link 😅😅😅,1 tahun yang lalu,youtube,positif,keren kereta lokal nya bisa dibeli pake link 😅😅😅
Ewalet paling ga ribet apa sih kalau dana ga aman udh😢,1 tahun yang lalu,youtube,netral,ewalet paling ga ribet apa sih kalau dana ga aman udh😢
Tanda kiamat. Sudah dekat. Yu hijrah,1 tahun yang lalu,youtube,netral,tanda kiamat sudah dekat yu hijrah
Dana jika mau deposit sll gagal🤣,1 tahun yang lalu,youtube,netral,dana jika mau deposit sll gagal🤣
"Aku tunggu liat mba,nya di Tv 
Cara berbicaranya bagus banget ga ad Aaa   eeee  anu...
Smuanya lancar,ditambah lagi mba,nya manis dan cantik😊",1 tahun yang lalu,youtube,positif,tunggu liat mbanya tv cara berbicaranya bagus banget ga ad aaa eeee anu smuanya lancarditambah lagi mbanya manis cantik😊
"Lebih bagus sih pakai dana, yg penting sudah premium, saya pakai dana dari 2018 untuk nyimpan uang, tranfer ke seluruh bank 10x gratis setiap bulannya,",1 tahun yang lalu (diedit),youtube,positif,lebih bagus sih pakai dana yg penting sudah premium pakai dana nyimpan uang tranfer seluruh bank x gratis setiap bulannya
Terimakasih mbak...!,1 tahun yang lalu,youtube,netral,terimakasih mbak
Saya pakai oyo mantap,1 tahun yang lalu,youtube,positif,pakai oyo mantap
Dana kurang aman saldo berkurang gk aman dana,1 tahun yang lalu,youtube,positif,dana kurang aman saldo berkurang gk aman dana
Dana sudah tidak aman,1 tahun yang lalu,youtube,netral,dana sudah tidak aman
Ovo sy dibobol kmarin. Bingung pakai apa skrg yg aman,1 tahun yang lalu,youtube,netral,ovo sy dibobol kmarin bingung pakai apa skrg yg aman
Mantap Mbak... Sangat Profesional. Semoga semakin Sukses.Aamiin,1 tahun yang lalu,youtube,positif,mantap mbak sangat profesional semoga semakin suksesaamiin
"E wallet banyak contoh. Dana, doku walet, i,saku, virgo, unitedpay, linkaja, pac cash, ovo, mandiri, klo gopay, shoppepay, sama akun gojek,shopee",1 tahun yang lalu,youtube,netral,e wallet banyak contoh dana doku walet isaku virgo unitedpay linkaja pac cash ovo mandiri klo gopay shoppepay sama akun gojekshopee
Terimah kasih atas penjelasannya.,1 tahun yang lalu,youtube,netral,terimah kasih atas penjelasannya
Sekarang transfer bank tidak lagi gratis,1 tahun yang lalu,youtube,netral,sekarang transfer bank tidak lagi gratis
Ovo sih,1 tahun yang lalu,youtube,netral,ovo sih
Maksudnya gimana bang?,1 tahun yang lalu,youtube,netral,maksudnya gimana bang
 @pakirawan1970  sd normal bang..bbrp hri itu saja..bnyak top ap tdk msuk.saldo juga hilang .,1 tahun yang lalu,youtube,netral,sd normal bangbbrp hri sajabnyak top ap tdk msuksaldo hilang
tapi kadang saldo hilang itu knp kak,1 tahun yang lalu,youtube,negatif,tapi kadang saldo hilang knp kak
Iya gwe juga hilang 1jt lebih apa yah apk yg aman kak​ @sucinursaftrdahlan4517 ,1 tahun yang lalu,youtube,netral,iya gwe hilang jt lebih apa yah apk yg aman kak​
"Karena suka klik² link ga jelas, sama hubungkan akun dana ke olshop tapi ga di cancel​ @sucinursaftrdahlan4517 ",1 tahun yang lalu,youtube,netral,suka klik² link ga jelas sama hubungkan akun dana olshop tapi ga cancel​
Kenapa kak,1 tahun yang lalu,youtube,netral,kenapa kak
Apa iya ovo juga bisa di bobol bang,1 tahun yang lalu,youtube,netral,apa iya ovo bisa bobol bang
Untuk ovo,1 tahun yang lalu,youtube,netral,ovo
Cantik dan pintarr,2 tahun yang lalu,youtube,netral,cantik pintarr
Ovo keamanannya best..,2 tahun yang lalu,youtube,netral,ovo keamanannya best
"Kelemahannya di Dana bagi saya, saya enggk bisa premium,jadi kecewa",2 tahun yang lalu,youtube,negatif,kelemahannya dana bagi enggk bisa premiumjadi kecewa
"Aku pake ovo, Kok kalau aku tf ke bank ga pernah dapat gratis admin yang 10x itu ya, pasti selalu ada admin 2500",2 tahun yang lalu,youtube,netral,pake ovo kok kalau tf bank ga pernah dapat gratis admin x ya pasti selalu ada admin
DANA ANJING MALing,2 tahun yang lalu,youtube,netral,dana anjing maling
Trimah ksih kaka pelajarannya😊😊😊,2 tahun yang lalu,youtube,netral,trimah ksih kaka pelajarannya😊😊😊
Ovo 2.500 ke bank lain,2 tahun yang lalu,youtube,netral,ovo bank lain
"Mau tya selain Dana yg bs utk smua transaksi aplksi play store. Apalagi ya kak. Sy cari dana yg bs bt trnsfer game domino, fizzonovel, tiktok, snack vidio, dll. Selain dana krna skrg smua aplikasi di playstore pkai dana. Mohon balasannya secepatnya",2 tahun yang lalu,youtube,netral,mau tya selain dana yg bs utk smua transaksi aplksi play store apalagi ya kak sy cari dana yg bs bt trnsfer game domino fizzonovel tiktok snack vidio dll selain dana krna skrg smua aplikasi playstore pkai dana mohon balasannya secepatnya
"gw nonton videi ini buat cari tau keamanan di setiap apk dompet digital, eh dia malah rekomend apk ovo😅",2 tahun yang lalu,youtube,netral,gw nonton videi buat cari tau keamanan setiap apk dompet digital eh malah rekomend apk ovo😅
Jangan pake dana,2 tahun yang lalu,youtube,netral,jangan pake dana
"Assalamualaikum,,bikin video gimana kalau HP hilang, apakah saldo dompet digital,ikut hilang?",2 tahun yang lalu,youtube,netral,assalamualaikumbikin video gimana kalau hp hilang apakah saldo dompet digitalikut hilang
"Dari dulu nyaman pakai dana, tp terpaksa pakai linkaja buat beli tiket kereta. Tp sejak bisa pakai qris jd bisa menninggalkan linkaja",2 tahun yang lalu,youtube,positif,dulu nyaman pakai dana tp terpaksa pakai linkaja buat beli tiket kereta tp sejak bisa pakai qris jd bisa menninggalkan linkaja
"Gara2 ewallet , judi online makin meraja rela",2 tahun yang lalu,youtube,netral,gara ewallet judi online makin meraja rela
"Izin nanya 
Apl GOPAY aman gk yah buat nabung banyak",2 tahun yang lalu,youtube,positif,izin nanya apl gopay aman gk yah buat nabung banyak
Paling enak DANA karna  karna aku bisa ngumpulin jugak uang dari snack video & tik tok jugak aplikasi lainya,2 tahun yang lalu,youtube,netral,paling enak dana karna karna bisa ngumpulin jugak uang snack video tik tok jugak aplikasi lainya
Saya sarankan jng pake ovo,2 tahun yang lalu,youtube,netral,sarankan jng pake ovo
Maaf grab dan ovo punya israel,2 tahun yang lalu,youtube,netral,maaf grab ovo punya israel
"Macam di Singapore dong pakai paynow, jdi smua pembayaran apa aja bisa, bahkan transfer k beda bank juga bisa",2 tahun yang lalu,youtube,netral,macam singapore dong pakai paynow jdi smua pembayaran apa aja bisa bahkan transfer k beda bank bisa
Kalok gopay top up geratis gk,2 tahun yang lalu,youtube,positif,kalok gopay top up geratis gk
Saya sdh daptar si dana padahal data sdh lengkap ktp tdk buram cma d ktp ny slh  tempat lahir sama tinggal tdk sama jdi mslh akhirny gk bisa jd premium tapi klo di link aja cuma 5 mnt lansung jd full servic .,2 tahun yang lalu (diedit),youtube,netral,sdh daptar si dana padahal data sdh lengkap ktp tdk buram cma d ktp ny slh tempat lahir sama tinggal tdk sama jdi mslh akhirny gk bisa jd premium tapi klo link aja cuma mnt lansung jd full servic
"udah brp lama pake, sering kejadian kehilangan ga ?😊",1 tahun yang lalu,youtube,netral,udah brp lama pake sering kejadian kehilangan ga 😊
​ @nadilapramudia-y3h emang iya ovo juga sering ilang?,1 tahun yang lalu,youtube,netral,​ yh emang iya ovo sering ilang
Kenapa emang ovo?,1 tahun yang lalu,youtube,netral,kenapa emang ovo
Betul aplikasi ssampah uang banyak yg hilang ga karuaan,2 tahun yang lalu,youtube,negatif,betul aplikasi ssampah uang banyak yg hilang ga karuaan
Disaran kan jangan pake dana... Keamanan kurang mudah di hack... Saya kena 2 juta hilang,2 tahun yang lalu,youtube,netral,disaran kan jangan pake dana keamanan kurang mudah hack kena juta hilang
Gua naik grab.. kalau bayar cash 10000. Bayar pakai ovo cuma 3000. Udh gitu masih dapat poin. Mantap ovo.,2 tahun yang lalu,youtube,positif,gua naik grab kalau bayar cash bayar pakai ovo cuma udh gitu masih dapat poin mantap ovo
Bisakah OVO menerima dana 100 juta?,2 tahun yang lalu,youtube,netral,bisakah ovo menerima dana juta
Terima kasih kakak cantik😂🙏,2 tahun yang lalu,youtube,netral,terima kasih kakak cantik😂🙏
"setelah transaksi pending selama 3 hari di DANA ,saya menjadi kapok mengunakan dompet digital apapun, ya walaupun saldo DANAsaya dikembalikan lagi. tapi tetap aja bikin cemas. karna tidak ada kantor cabang tempat melaporkan keluahan layanan, tapi cuma mengandalkan layanan chat robot dan akun media sosial nya saja.",2 tahun yang lalu (diedit),youtube,netral,setelah transaksi pending selama hari dana menjadi kapok mengunakan dompet digital apapun ya walaupun saldo danasaya dikembalikan lagi tapi tetap aja bikin cemas karna tidak ada kantor cabang tempat melaporkan keluahan layanan tapi cuma mengandalkan layanan chat robot akun media sosial nya saja
Love u kakak 😘,2 tahun yang lalu,youtube,netral,love u kakak 😘
Simak Aja Dulu 😂😅....... Semua Ada Kekurangan  dan  Kelebihannya  Masing-masing  😅,2 tahun yang lalu,youtube,netral,simak aja dulu 😂😅 semua ada kekurangan kelebihannya masingmasing 😅
Review SEABANK dong kak,2 tahun yang lalu,youtube,netral,review seabank dong kak
Dana payah ngk bisa upgrade dana premium KTP buram lambat bantuan dari dana,2 tahun yang lalu,youtube,negatif,dana payah ngk bisa upgrade dana premium ktp buram lambat bantuan dana
Kak ada bunganya gak kak,2 tahun yang lalu,youtube,netral,kak ada bunganya gak kak
Mantap penjelasan nya kaka saya user baru dana say haii ✌🏼,3 tahun yang lalu,youtube,positif,mantap penjelasan nya kaka user baru dana say haii ✌🏼
Aku pake dana ovo....tapi pilih ovo aplikasinya sat set dana kadang agak delai..loading gitu...,3 tahun yang lalu,youtube,netral,pake dana ovotapi pilih ovo aplikasinya sat set dana kadang agak delailoading gitu
Tpi biaya admin termurah di dana coy,3 tahun yang lalu,youtube,netral,tpi biaya admin termurah dana coy
Klo tiba2 hp rusak gmna??,3 tahun yang lalu,youtube,netral,klo tiba hp rusak gmna
Saya e wallet pake shopeepay  😂 tf ke bank mana aja gratis terus soalnya 🥹,3 tahun yang lalu,youtube,netral,e wallet pake shopeepay 😂 tf bank mana aja gratis terus soalnya 🥹
"Rata-rata kita mencari diskon..tapi jika kita harus mencari yang mana diskon yang besar, rada ribet harus pasang lebih dari 1 apk..kalau saya prinsipnya apk yang konsisten stabil, aman terpercaya! Sebab kita mengutamakan kenyamanan keamanan serta 1 apk bisa buat melakukan lebih dari 1 macam aktivitas!",3 tahun yang lalu,youtube,netral,ratarata kita mencari diskontapi jika kita harus mencari mana diskon besar rada ribet harus pasang lebih apkkalau prinsipnya apk konsisten stabil aman terpercaya sebab kita mengutamakan kenyamanan keamanan serta apk bisa buat melakukan lebih macam aktivitas
Beli pulsa lebih murah pake Dana,3 tahun yang lalu,youtube,netral,beli pulsa lebih murah pake dana
Aku pke dana hanya buat top up coin 🤣,3 tahun yang lalu,youtube,positif,pke dana hanya buat top up coin 🤣
"Pelan# tergiring ke satu titik, internet",3 tahun yang lalu,youtube,netral,pelan tergiring satu titik internet
Mungkin BG nya ada transaksi otomatis...,2 tahun yang lalu,youtube,netral,mungkin bg nya ada transaksi otomatis
Salah satu pengguna teledor kamu aku 11 jta aman aman sudah 1 bulan transaksi,2 tahun yang lalu,youtube,positif,salah satu pengguna teledor jta aman aman sudah bulan transaksi
Saya juga masih takut pakai dana  .. Krna pernah hilang tiba tiba saldo 1.400.000..😢sangat tidak aman pakai dana   buat aku,2 tahun yang lalu,youtube,negatif,masih takut pakai dana krna pernah hilang tiba tiba saldo 😢sangat tidak aman pakai dana buat
"masih bagus sampe sekarang shopeepay
yg lain banyak batasan, minimal,",1 tahun yang lalu,youtube,positif,masih bagus sampe sekarang shopeepay yg lain banyak batasan minimal
" @endraadhitya9478  Iya Shopepay emg terbaik dan sgt aman..
Namun sering error saat isi di Minimarket.   
Yg termudah adalah DANA namun harus hati-hati pakainya",1 tahun yang lalu,youtube,negatif,iya shopepay emg terbaik sgt aman namun sering error saat isi minimarket yg termudah adalah dana namun harus hatihati pakainya
Sampai saat ini di tahun 2022 Gopay tetap yang terbaik dengan berbagai promo dan cashbacknya,3 tahun yang lalu,youtube,netral,sampai saat tahun gopay tetap terbaik berbagai promo cashbacknya
klo saya selalu pake dana,3 tahun yang lalu,youtube,netral,klo selalu pake dana
Ah Vidio nya berat d putar .....,3 tahun yang lalu,youtube,netral,ah vidio nya berat d putar
Betul sekali jaman semakin modern.saya kalau mau transfer ke bank lewat aplikasi dana. mantap bisa gratis.kalau dikonter kena biaya sampai 8sampai 10 ribu.,3 tahun yang lalu,youtube,positif,betul sekali jaman semakin modernsaya kalau mau transfer bank lewat aplikasi dana mantap bisa gratiskalau dikonter kena biaya sampai sampai ribu
Apakah semua ewallet ini bisa di akses diluar negeri? Untuk top up atau transfer via brimo ?,3 tahun yang lalu,youtube,positif,apakah semua ewallet bisa akses diluar negeri top up transfer via brimo
Dana sih paling sampah gak bisa buat belanja di alfamart indomaret,3 tahun yang lalu,youtube,netral,dana sih paling sampah gak bisa buat belanja alfamart indomaret
"Calon channel gede nih, penjelasan & pembawaannya mudah dipahami.",3 tahun yang lalu,youtube,positif,calon channel gede nih penjelasan pembawaannya mudah dipahami
Trima kasih yutuber,3 tahun yang lalu,youtube,netral,trima kasih yutuber
"Trus paling rekomendasinya pake apa kak?
#tolong jawab",3 tahun yang lalu (diedit),youtube,netral,trus paling rekomendasinya pake apa kak jawab
Lama2 di stasiun utk beli kereta api 🤣🤣🤣🤣,3 tahun yang lalu,youtube,netral,lama stasiun utk beli kereta api 🤣🤣🤣🤣
Harusnya tanpa data internet bisa di pakai,3 tahun yang lalu,youtube,netral,harusnya tanpa data internet bisa pakai
Dana lebih baik dari semua e wallet,3 tahun yang lalu,youtube,netral,dana lebih baik semua e wallet
I love you 🤣🤣🤣🥰😍😍🥰,3 tahun yang lalu,youtube,netral,i love you 🤣🤣🤣🥰😍😍🥰
"Apapun itu!! Tetap DANA transfer bank sangat cepat 👍
Segi kekurangan Sabtu Minggu Libur",4 tahun yang lalu,youtube,positif,apapun tetap dana transfer bank sangat cepat 👍 segi kekurangan sabtu minggu libur
siiip,4 tahun yang lalu,youtube,netral,siiip
"Sangat detail dn menarik,terimakasih",4 tahun yang lalu,youtube,netral,sangat detail dn menarikterimakasih
Punya saya ada 4 ewalet gopay ovo Ling aja dana saya pakai semua itu ble tida yaaa,4 tahun yang lalu,youtube,netral,punya ada ewalet gopay ovo ling aja dana pakai semua ble tida yaaa
minta screenshot tampilan depan apk Dana aman ga,4 tahun yang lalu,youtube,positif,minta screenshot tampilan depan apk dana aman ga
"wih kren cuy beli kereta api dng link aja hehe,, mksudnya tiket KAi mungkin mbak yah !!",4 tahun yang lalu,youtube,netral,wih kren cuy beli kereta api dng link aja hehe mksudnya tiket kai mungkin mbak yah
Pilih km aja ga mau yg lain,4 tahun yang lalu,youtube,netral,pilih km aja ga mau yg lain
paling bgs yg mana,2 tahun yang lalu,youtube,netral,paling bgs yg mana
Ini setuju tapi kalau batrai hp gak ada😂,3 tahun yang lalu,youtube,netral,setuju tapi kalau batrai hp gak ada😂
Tapi sekarang dana kasus negeri kalo simpan uang di dana bisa hilang,2 tahun yang lalu,youtube,negatif,tapi sekarang dana kasus negeri kalo simpan uang dana bisa hilang
 @hilmanromadona6574  sya pakai akun dana status premium sejauh ini aman aja sih,2 tahun yang lalu,youtube,positif,sya pakai akun dana status premium sejauh aman aja sih
"Maksutnya sabtu minggu libur gmana yah?
Maksutnya sabtu minggu aplikasinya gk bisa di gunain gitu?",3 tahun yang lalu,youtube,netral,maksutnya sabtu minggu libur gmana yah maksutnya sabtu minggu aplikasinya gk bisa gunain gitu
" @soniahutabarat2678  pernah sya alami mau ngirim uang ke rekening dihari itu,, tau2nya ada notif pengiriman pending.. pengiriman berlangsung sesuai jam kerja bank!! Sabtu minggu bank libur",3 tahun yang lalu,youtube,netral,pernah sya alami mau ngirim uang rekening dihari taunya ada notif pengiriman pending pengiriman berlangsung sesuai jam kerja bank sabtu minggu bank libur
Aku pakai dana.. Malah pernah hilang saldo. 1.400 000...tanpa transaksi apapun.,2 tahun yang lalu,youtube,negatif,pakai dana malah pernah hilang saldo tanpa transaksi apapun
​ @IvaAulia-f1m sama kaya aku bang,1 tahun yang lalu,youtube,netral,​ fm sama kaya bang
boleh,2 tahun yang lalu,youtube,netral,boleh
Menurutku dompet digital terbaik adalah DANA,4 tahun yang lalu,youtube,netral,menurutku dompet digital terbaik adalah dana
Linkaja,4 tahun yang lalu,youtube,netral,linkaja
Saya pake dana. Tapi ketika saya mau berlangganan mola. Tidak ada pembayaran melalui dana. Maka dari itu saya mau ganti dompet. Tapi yang terkomendasi,4 tahun yang lalu,youtube,netral,pake dana tapi ketika mau berlangganan mola tidak ada pembayaran melalui dana maka mau ganti dompet tapi terkomendasi
Dana ga bs dipake di alfamart dkk indomaret jg itu aja 😀,4 tahun yang lalu,youtube,netral,dana ga bs dipake alfamart dkk indomaret jg aja 😀
Klo ovo buat beli dicafe2 doang harus upgrade full servis va,4 tahun yang lalu,youtube,netral,klo ovo buat beli dicafe doang harus upgrade full servis va
Fix milih ovo dong buat top up :),4 tahun yang lalu,youtube,positif,fix milih ovo dong buat top up
Untung skrg ada QRIS jadi bisa scan semua e-Wallet inget tuh dulu kebanyakan  di pisah2😩 Cuma buat gopay lah ovo lah dana lah,4 tahun yang lalu,youtube,netral,untung skrg ada qris bisa scan semua ewallet inget tuh dulu kebanyakan pisah😩 cuma buat gopay lah ovo lah dana lah
"Kakaknya bagus publik speaking nya, jelas , akurat dan terukur. 💯",4 tahun yang lalu,youtube,positif,kakaknya bagus publik speaking nya jelas akurat terukur 💯
"Ke depannya lagi semakin canggih gak perlu pakai handphone, cukup pakai tangan atau dahi bisa membeli dan menjual sesuai nubuatan Alkitab. Mengerikan...",4 tahun yang lalu,youtube,netral,depannya lagi semakin canggih gak perlu pakai handphone cukup pakai tangan dahi bisa membeli menjual sesuai nubuatan alkitab mengerikan
"Jangan nyimpen duit banyaj banyak di e wallet, krna kalo hape lu ilang beserta simcardnya, ya sudah lenyap semuanya
Tapi keunggulannya adl gaada biaya admin bulanan

Tapi kalo lu nabung di BCA ekspresi, kartu atm ilang.. Lu tinggal dateng ke kantor bca bawa ktp, bikin kartu atm baru+menonaktifkan kartu atm yg ilang  jadi duit lu ttep terselamatkan
Minusnya ada biaya admin 8ribu perbulan",4 tahun yang lalu,youtube,netral,jangan nyimpen duit banyaj banyak e wallet krna kalo hape lu ilang beserta simcardnya ya sudah lenyap semuanya tapi keunggulannya adl gaada biaya admin bulanan tapi kalo lu nabung bca ekspresi kartu atm ilang lu tinggal dateng kantor bca bawa ktp bikin kartu atm barumenonaktifkan kartu atm yg ilang duit lu ttep terselamatkan minusnya ada biaya admin ribu perbulan
Link aja terbaik.. cuma sedikit mahal aja,4 tahun yang lalu,youtube,netral,link aja terbaik cuma sedikit mahal aja
"Pertanyaanya.....
Dompet digital bisa untuk nyawer biduan?",4 tahun yang lalu,youtube,netral,pertanyaanya dompet digital bisa nyawer biduan
"Nonton lama-lama tak kira bakalan jadi paham dompet digital 
Eh malah jadi sayang , wkwk",4 tahun yang lalu,youtube,netral,nonton lamalama tak kira bakalan paham dompet digital eh malah sayang wkwk
Dompet digital bisa ngerubah uang dari 1000 sampe sejuta ga ? 😂,4 tahun yang lalu,youtube,netral,dompet digital bisa ngerubah uang sampe sejuta ga 😂
nah ini dia yang gua cari cari bray,4 tahun yang lalu,youtube,netral,nah gua cari cari bray
Dlu make ovo.. eh karena ga bsa pindah ke dana... dan dri dana lah aku bisa investasi sdikit2.. soalnya top up pun tanpa admin.. nah kalau gopay.. biar pake admin.  Tpi bnyak skali keuntungab bnyak promo dan bnyak cashback... ga tanggung2 kdang 20 rb 10 rb.. lumayan... dan kalau gopay transfer ke semua bank cm 2500.. klo mw yg gratis admin ada lagi tuh aplikasi JENIUS..,4 tahun yang lalu,youtube,positif,dlu make ovo eh ga bsa pindah dana dri dana lah bisa investasi sdikit soalnya top up pun tanpa admin nah kalau gopay biar pake admin tpi bnyak skali keuntungab bnyak promo bnyak cashback ga tanggung kdang rb rb lumayan kalau gopay transfer semua bank cm klo mw yg gratis admin ada lagi tuh aplikasi jenius
"Aku ko vertikasi ke dana gagal aja, knp yah??",4 tahun yang lalu,youtube,negatif,ko vertikasi dana gagal aja knp yah
"Saya pakai linkaja dan dana. 
Linkaja free tranfer antar bank bumn
Dana free tranfer semua bank 10xperbulan. D dana beli pulsa bisa 5ribuan.",4 tahun yang lalu,youtube,netral,pakai linkaja dana linkaja free tranfer antar bank bumn dana free tranfer semua bank xperbulan d dana beli pulsa bisa ribuan
Saya gagal terus download aplikasi dana dna ovvo  gak tau kenapa,4 tahun yang lalu,youtube,negatif,gagal terus download aplikasi dana dna ovvo gak tau kenapa
"Dana rawan sekarang 
Di bekukan tiba-tiba 
Yang best hanya link aja tidak ada yang lain",4 tahun yang lalu,youtube,netral,dana rawan sekarang bekukan tibatiba best hanya link aja tidak ada lain
Yes. Bisa top up ke forex atau binomo.,4 tahun yang lalu,youtube,positif,yes bisa top up forex binomo
8 ribu utk jaminan ga mahal lah,3 tahun yang lalu,youtube,netral,ribu utk jaminan ga mahal lah
Benar Bg nyimpen duit didana buat belanja aja kalau untuk tabungan mending di bank...,4 tahun yang lalu,youtube,netral,benar bg nyimpen duit didana buat belanja aja kalau tabungan mending bank
Wkwkwkkw..😁,4 tahun yang lalu,youtube,netral,wkwkwkkw😁
Di bekukan alasanya apa?,4 tahun yang lalu,youtube,netral,bekukan alasanya apa
Betul duit saya nyangkut 2 juta,2 tahun yang lalu,youtube,netral,betul duit nyangkut juta
"Gopay mah paling gak enak,  karna dompet gampang terblokir atau terkunci",4 tahun yang lalu,youtube,netral,gopay mah paling gak enak karna dompet gampang terblokir terkunci
"Apk Link Aja  saja yang Mantapppp 

Apk Dana tidak bagus 
Apk ovo tidak bagus
Apk go pay tidak bagus",4 tahun yang lalu,youtube,netral,apk link aja saja mantapppp apk dana tidak bagus apk ovo tidak bagus apk go pay tidak bagus
😱,4 tahun yang lalu,youtube,netral,😱
Yg terpenting gratis ke bank,4 tahun yang lalu,youtube,netral,yg terpenting gratis bank
Mbaknya manis deh apalagi suaranya duhh..empuk banget jd gk bosen nontonnya 😘,4 tahun yang lalu,youtube,netral,mbaknya manis deh apalagi suaranya duhhempuk banget jd gk bosen nontonnya 😘
Terimakasih atss informasinya kak 🙏🏼,4 tahun yang lalu,youtube,netral,terimakasih atss informasinya kak 🙏🏼
Kecewa sama dana.hanya untuk masuk kepremium terbentur foto ktp yg blur padahal dokumen pendukung sim dll sama saja gk bisa jadi premium,4 tahun yang lalu,youtube,negatif,kecewa sama danahanya masuk kepremium terbentur foto ktp yg blur padahal dokumen pendukung sim dll sama saja gk bisa premium
Mantap bingit intonasinya,4 tahun yang lalu,youtube,positif,mantap bingit intonasinya
"LinkAja saya pernah nge tf ke bank BNI, dan tertulis berhasil, tapi pada bank BNI tujuan tidak sampai, dan saldo saya berkurang.",4 tahun yang lalu,youtube,netral,linkaja pernah nge tf bank bni tertulis berhasil tapi pada bank bni tujuan tidak sampai saldo berkurang
